Card number,Set,Rarity,Region,Release,Series,Set type,Cover card,Page URL,Modification date,Version
BE01-JP080,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP081,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP081,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP082,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP082,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP083,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP083,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP084,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP084,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP085,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP085,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP086,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP086,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP087,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP087,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP088,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP088,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP089,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP089,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP090,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP090,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP091,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP091,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP092,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP092,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP093,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP093,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP094,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP094,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP095,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP095,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP096,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP096,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP097,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP097,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP098,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP098,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP099,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP099,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP100,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP100,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP101,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP101,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP102,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP102,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP103,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP103,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP104,Beginner's Edition 1,"('Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP104,Beginner's Edition 1 (2011),"('Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP105,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP105,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP106,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP106,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP107,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP107,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP108,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP108,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP109,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP109,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP110,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP110,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP111,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP111,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP112,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP112,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP113,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP113,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP114,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP114,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP115,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP115,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP116,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP116,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP117,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP117,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP118,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP118,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP119,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP119,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP120,Beginner's Edition 1,"('Ultra Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP120,Beginner's Edition 1 (2011),"('Ultra Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP121,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP121,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP122,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP122,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP123,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP123,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP124,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP124,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP125,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP125,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP126,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP126,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP127,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP127,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP128,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP128,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP129,Beginner's Edition 1,"('Super Rare',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP129,Beginner's Edition 1 (2011),"('Super Rare',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP130,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP130,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP131,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP131,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP132,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
BE01-JP132,Beginner's Edition 1 (2011),"('Common',)",JP,2011-05-14,,Booster pack,"('Blue-Eyes White Dragon', 'Dark Magician', 'Exodia the Forbidden One', 'Marshmallon')",https://yugipedia.com/wiki/Beginner%27s_Edition_1_(2011),2021-02-07 13:20:15,New
BE01-JP133,Beginner's Edition 1,"('Common',)",JP,2004-06-24,,Booster pack,,https://yugipedia.com/wiki/Beginner%27s_Edition_1,2021-02-07 13:36:37,Old
